Category,Name,Description,URL,Image URL,Landing Page URL
Tech,TLDR,Byte sized news for techie folks,https://inboxreads.co/n/tldr,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727304375506-424952055.jpg?tr=w-600,f-webp",../l/newsletter/tldr?source=newsletter-details
Tech,The Hustle,Fresh tech and business news,https://inboxreads.co/n/the-hustle,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727304691941-21084438.jpg?tr=w-600,f-webp",../l/newsletter/the-hustle?source=newsletter-details
Tech,Product Hunt Daily,"The best of Product Hunt, created by your friends.",https://inboxreads.co/n/product-hunt-daily,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727304578558-591914746.jpg?tr=w-600,f-webp",../l/newsletter/product-hunt-daily?source=newsletter-details
Tech,Recomendo,6 brief recommendations of cool stuff,https://inboxreads.co/n/recomendo,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727304644554-528846285.jpg?tr=w-600,f-webp",../l/newsletter/recomendo?source=newsletter-details
Tech,Android Authority Weekly,"Android news, reviews, articles, and more!",https://inboxreads.co/n/android-authority-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727216592808-26593094.jpg?tr=w-600,f-webp",../l/newsletter/android-authority-weekly?source=newsletter-details
Tech,CB Insights,The easy way to stay ahead of all things tech,https://inboxreads.co/n/cb-insights,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727465825733-624029320.jpg?tr=w-600,f-webp",../l/newsletter/cb-insights?source=newsletter-details
Tech,Creative Mornings,"Get inspired, no matter where you are.",https://inboxreads.co/n/creative-mornings,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727216747511-6899104.jpg?tr=w-600,f-webp",../l/newsletter/creative-mornings?source=newsletter-details
Tech,The Daily Navigator,A five-minute trip through the news.,https://inboxreads.co/n/the-navigator,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305241802-331747927.jpg?tr=w-600,f-webp",../l/newsletter/the-navigator?source=newsletter-details
Tech,Refind,Get smarter every day,https://inboxreads.co/n/refind,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1728733414493-757598810.jpg?tr=w-600,f-webp",../l/newsletter/refind?source=newsletter-details
Tech,The Daily DONUT,News that doesn’t suck. 🙃,https://inboxreads.co/n/the-daily-donut,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727290145817-917794914.jpg?tr=w-600,f-webp",../l/newsletter/the-daily-donut?source=newsletter-details
Tech,Benedict Evans,Tech stories and links,https://inboxreads.co/n/benedict-evans,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305465792-803973382.jpg?tr=w-600,f-webp",../l/newsletter/benedict-evans?source=newsletter-details
Tech,Axios Gaming,News on the video gaming universe,https://inboxreads.co/n/axios-gaming,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727290176838-591827081.jpg?tr=w-600,f-webp",../l/newsletter/axios-gaming?source=newsletter-details
Tech,Switch Weekly,Stay in the know on all things Nintendo Switch.,https://inboxreads.co/n/switch-weekly,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/1727305816053-860091740.jpg?tr=w-600,f-webp",../l/newsletter/switch-weekly?source=newsletter-details
Tech,Hacker Newsletter,"The best articles on startups, technology, programming, and more.",https://inboxreads.co/n/hacker-newsletter,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727207675102-450094502.jpg?tr=w-600,f-webp",../l/newsletter/hacker-newsletter?source=newsletter-details
Tech,How Curious!,A short monthly newsletter packed with awesome new discoveries and personal recommendations!,https://inboxreads.co/n/how-curious,"https://ik.imagekit.io/v6hdo99xkpg/newsletters/snap-1727205545025-707311379.jpg?tr=w-600,f-webp",../l/newsletter/how-curious?source=newsletter-details
